Timestep,1Hz,,
Voltage,Current,Bat_Temp,ambient_Temp
3.3294,-2.9795,31.079737,31.019977
3.3173,-2.9929,31.073239,31.019345
3.3089,-2.9921,31.079395,31.044933
3.3036,-3.0117,31.080988,31.03626
3.2958,-3.017,31.076841,31.035779
3.2909,-2.987,31.068447,31.017853
3.287,-2.9919,31.080924,31.037296
3.282,-2.9653,31.070482,31.026487
3.2772,-2.9797,31.077258,31.026297
3.2731,-2.9855,31.081556,31.022164
3.2696,-2.9994,31.070395,31.0297
3.2656,-3.0229,31.087447,31.025488
3.264,-2.9814,31.080557,31.038763
3.259,-3.0002,31.087498,31.029205
3.2558,-3.0061,31.072643,31.024982
3.2528,-3.0009,31.087523,31.027397
3.25,-3.0002,31.090165,31.038105
3.2466,-2.9699,31.086966,31.027207
3.2453,-2.9865,31.09316,31.020202
3.2424,-3.0006,31.081884,31.03679
3.2391,-3.0052,31.086801,31.033275
3.2379,-2.9998,31.097041,31.032883
3.2359,-2.9926,31.087484,31.024792
3.2336,-3.0022,31.09182,31.03536
3.2325,-2.9973,31.098393,31.01847
3.2304,-2.9602,31.088357,31.03813
3.2286,-2.9773,31.110567,31.037977
3.2269,-3.0068,31.093362,31.025537
3.2255,-2.9882,31.095687,31.031896
3.2229,-3.0059,31.09211,31.045184
3.223,-2.989,31.101592,31.035234
3.2195,-3.0047,31.102172,31.041314
3.2204,-2.995,31.107861,31.054702
3.2185,-3.008,31.116584,31.048027
3.2169,-2.9898,31.097646,31.036421
3.2164,-3.0058,31.094752,31.033161
3.2158,-3.0104,31.104422,31.027066
3.2157,-2.9805,31.095067,31.037508
3.2136,-3.0127,31.108063,31.045005
3.2141,-2.9986,31.123726,31.036472
3.2129,-2.9869,31.099253,31.041327
3.2128,-3,31.119125,31.047635
3.2104,-3.0286,31.109808,31.033552
3.2105,-2.9863,31.126077,31.039556
3.2093,-3.0213,31.124672,31.059416
3.2096,-3.0435,31.115509,31.052452
3.2086,-2.9692,31.135886,31.058898
3.2089,-3.0008,31.10834,31.032084
3.2084,-2.979,31.12887,31.040516
3.2082,-2.9717,31.117947,31.039126
